Country Name,2014,2015,2016,2017,2018,2019,2020,2021,Average Expenditure
Bulgaria,15.1,15.3,15.1,15.5,15.4,15.5,18.0,21.7,16.45
Serbia,14.2,14.6,14.3,14.8,14.6,14.6,16.9,20.0,15.499999999999996
Ukraine,14.7,14.9,14.7,14.5,14.8,14.7,15.9,18.5,15.3375
Latvia,14.3,14.4,14.6,14.8,15.0,14.5,15.2,18.4,15.150000000000002
Lithuania,13.7,14.4,14.3,14.2,14.1,13.7,15.6,17.0,14.625
Romania,12.8,13.2,13.1,13.4,13.6,13.4,15.5,17.5,14.0625
Moldova,14.166,14.133,13.54,13.088,13.339,13.089,14.445,16.36,14.020000000000001
Lesotho,15.519,14.825,14.126,13.651,13.259,13.014,12.858,14.186,13.929749999999999
Hungary,12.8,13.4,13.0,13.5,13.4,13.3,14.5,16.1,13.75
Belarus,12.8,12.6,12.6,12.6,12.7,12.8,16.553,16.544,13.649624999999999
Russian Federation,13.1,13.0,12.9,12.4,12.5,12.3,14.6,16.7,13.4375
Nigeria,13.892,13.803,13.638,13.435,13.239,12.989,12.997,13.083,13.384500000000001
Croatia,12.0,12.9,12.3,13.0,12.9,12.7,14.1,16.2,13.2625
Georgia,12.576,12.531,12.411,12.603,12.963,12.88,13.976,15.166,13.13825
Chad,14.022,13.693,13.291,13.043,12.671,12.369,12.486,12.504,13.009875000000001
Bosnia and Herzegovina,12.276,12.011,11.613,11.842,12.056,12.266,14.094,15.712,12.733749999999999
Central Europe and the Baltics,11.375115818527,11.8380895973408,11.6171630592915,11.9764024346954,12.1174003213682,11.9818000612645,13.7020454985942,15.3958080823773,12.500478109182364
Estonia,11.8,11.6,11.7,11.8,11.9,11.6,11.9,14.0,12.0375
Somalia,12.81,12.447,12.275,11.891,11.444,11.041,11.39,11.596,11.86175
Central African Republic,13.517,12.15,11.711,11.544,11.23,10.873,11.041,11.393,11.682375
Greece,10.4,11.2,11.0,11.6,11.2,11.7,12.2,13.6,11.6125
Germany,10.7,11.3,11.1,11.3,11.5,11.3,11.9,12.3,11.425
Poland,9.9,10.4,10.2,10.6,10.9,10.8,12.6,13.8,11.149999999999999
Montenegro,9.7,10.2,10.4,10.5,10.5,10.6,11.7,14.8,11.049999999999999
Portugal,10.1,10.5,10.7,10.7,11.0,10.9,12.0,12.0,10.9875
Czechia,10.0,10.5,10.2,10.5,10.6,10.5,12.1,13.3,10.9625
South Sudan,11.493,11.072,11.01,11.01,10.584,10.531,10.759,11.05,10.938625
Africa Western and Central,11.54479793313,11.3524757061357,11.1136353993849,10.9090124903075,10.7118398833043,10.4887479307689,10.6012972524141,10.6789520483923,10.925094830479713
Italy,9.8,10.7,10.1,10.7,10.5,10.6,12.5,11.9,10.850000000000001
Japan,10.1,10.3,10.5,10.8,11.0,11.2,11.1,11.7,10.8375
North Macedonia,9.5,9.9,9.853364793075,9.8,9.5,9.8,12.4,15.5,10.781670599134376
Europe & Central Asia (IDA & IBRD countries),10.2794821782817,10.3142312796382,10.2074424226135,10.0462631867693,10.0780221572564,9.95052175839525,11.6484613879801,12.8614228432272,10.673230901770207
European Union,9.85047734064385,10.396667511123,10.1776989457887,10.4615365375869,10.5107373571832,10.4025854012258,11.6026000520246,11.8654673944772,10.658471317506656
Armenia,9.704,9.607,9.634,9.664,9.75,9.662,12.792,13.007,10.477500000000001
Europe & Central Asia,9.83943419426718,10.1218404610047,9.96594195510807,10.0033288438676,10.0277301796976,9.90552020115597,11.2835611552871,11.8606026887972,10.375994959898177
Slovak Republic,9.5,9.9,9.6,9.9,10.0,9.8,10.8,13.5,10.375
Eswatini,12.193,11.202,10.45,9.936,9.324,8.923,9.603,11.356,10.373375
Euro area,9.50425430228133,10.0941628723796,9.86976534319589,10.1498366839012,10.1690611657358,10.0761307328153,11.1523986703271,11.1144280959498,10.266254733323253
Isle of Man,9.781,10.905,9.979,10.023,10.054,10.09,10.414,10.604,10.231250000000001
Guinea,10.856,10.702,10.352,10.121,9.94,9.712,9.847,9.99,10.189999999999998
Cuba,8.833,9.063,9.348,9.622,9.815,9.861,10.23,14.652,10.178
Tuvalu,10.098,10.126,10.111,10.082,10.107,10.161,10.188,10.159,10.129000000000001
Slovenia,9.2,9.6,9.5,9.9,9.9,9.9,11.4,11.0,10.049999999999999
Uruguay,9.508,9.559,9.628,9.724,9.863,10.057,9.432,12.162,9.991625
Dominica,12.401,10.93,10.714,11.455,8.417,8.369,8.177,8.986,9.931125
"Congo, Dem. Rep.",10.551,10.396,10.077,9.865,9.573,9.38,9.537,9.7,9.884875000000001
Finland,9.6,9.6,9.8,9.8,9.9,9.8,10.0,10.4,9.8625
Sierra Leone,11.219,10.712,10.046,9.88,9.308,9.065,9.296,9.113,9.829875
St. Kitts and Nevis,9.612,9.763,9.372,9.443,9.83,9.91,10.036,10.181,9.768374999999999
Belgium,9.3,9.8,9.5,9.6,9.7,9.5,11.0,9.7,9.762500000000001
Post-demographic dividend,9.07084339683193,9.38674594171055,9.33056166002021,9.50958695566311,9.56774062159046,9.54448693878762,10.5488346931525,10.8176399045392,9.722055014036949
Mali,10.548,10.211,9.927,9.637,9.419,9.205,9.529,9.274,9.71875
Austria,9.2,9.6,9.2,9.5,9.5,9.4,10.3,10.3,9.625
Benin,9.996,9.857,9.761,9.592,9.428,9.248,9.364,9.434,9.584999999999999
St. Vincent and the Grenadines,7.858,8.105,8.385,8.592,8.906,10.1,11.038,13.425,9.551124999999999
High income,8.96723475611991,9.22175820347377,9.16695738440453,9.27491417721987,9.32969755657038,9.28483406515842,10.3731236684749,10.7885035049881,9.550877914551235
Fragile and conflict affected situations,9.87556496146069,9.71220972763266,9.5520001615218,9.35616395354347,9.19919600098847,9.047475207388,9.27042973980787,9.57773132117494,9.448846384189737
Denmark,9.1,9.2,9.2,9.2,9.5,9.3,9.4,9.8,9.3375
South Africa,9.432,9.259,8.924,8.802,8.765,8.614,9.425,11.432,9.331625
United Kingdom,8.8,9.2,9.1,9.2,9.2,9.0,10.1,9.7,9.2875
Curacao,8.8,8.8,9.3,8.9,8.8,8.8,9.3,11.1,9.225
Pre-demographic dividend,9.82051273517703,9.61285992960514,9.38936007188482,9.16671431045318,8.95816941578612,8.77147621000545,8.92627655047725,9.05970139714398,9.21313382756662
Equatorial Guinea,9.965,9.616,9.345,9.096,8.85,8.582,9.026,9.042,9.19025
Palau,9.5,7.7,9.9,10.3,7.8,10.2,8.4,9.7,9.1875
Cote d'Ivoire,9.847,9.543,9.374,9.17,8.961,8.728,8.817,9.001,9.180125
Burkina Faso,9.96,9.634,9.313,9.113,8.809,8.75,8.813,8.958,9.16875
Spain,8.5,9.1,8.8,9.1,9.1,8.8,10.4,9.5,9.162500000000001
Puerto Rico,8.5,8.084,8.86,9.222,9.063,9.194,10.131,10.2,9.15675
France,8.4,8.9,8.9,9.1,9.1,9.1,9.9,9.8,9.15
