Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Afghanistan,AFG,..,..,..,..,..,..,1376229242432.57,1085368478969.56,1014487465894.26,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Albania,ALB,1313277451251.81,1337059794900.35,1376546847495.12,1438069396642.69,1503028704019.45,1531261852502.4,1473899857616.26,1593835957197.96,1772570805951.14,1865571601615.02
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Algeria,DZA,22330710345298.9,21064495724752.7,21138084697996.4,22054816964959.6,23124103784692.9,23090099000000,20962282547486.9,23092428534319.2,26405733164953.8,26684803861167.7
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,American Samoa,ASM,596801438.848921,617015037.593985,616877934.2723,568287539.936102,579317220.543807,572097719.869707,611836734.693878,613697406.340058,648960118.16839,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Andorra,AND,..,..,..,..,..,..,..,..,..,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Angola,AGO,1593647575929.33,1381352588508.76,1428293899373.16,1388226179277.84,1448954084309.15,1596721743413.1,1255971279454.55,1368882653482.49,1471463996702.66,1418997346809.72
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Argentina,ARG,736498325588.407,746527494202.225,736387011118.893,755055357165.095,742530673173.202,736026182756.285,660703528059.333,748258121857.085,781953642367.53,756796952575.696
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Armenia,ARM,4422422624006.04,4492358062250,4434462424330.23,4771366622610.1,5068997738889.87,5385015360225.29,5123795176507.57,5467855019625.18,6102834401601.65,6601489771074.75
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Aruba,ABW,..,..,..,..,..,..,..,..,..,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Australia,AUS,1843503918462.07,1833882941215.47,1837434548572.4,1930208030485.8,1993436570144.33,2062754674498.86,2068273801990.98,2174952885045.74,2333221000000,2400706999795.28
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Austria,AUT,338049912871.352,344269230000,352966497218.978,358633895814.213,366644401788.007,370670633879.439,347771838373.594,361150443761.762,369498891896.156,371957736280.955
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Azerbaijan,AZE,29926005276.0212,..,..,..,..,..,..,..,..,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,"Bahamas, The",BHS,11547560244.9369,12138140398.9662,12188287630.2414,12443235947.7284,12615810000,12557984115.252,9816758337.95344,11105564021.6181,11859249071.1352,12505797593.3502
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Bahrain,BHR,11412078728.963,10831227308.9261,11039582608.2405,11735994152.0468,12067993103.7147,12303256309.8849,11161412498.6027,11686931550.1924,..,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Bangladesh,BGD,18082480144908.1,19277247246992,20758211000000,22126229141038.8,23745739369472.9,25617358580559.9,26500648315531.1,28339444547672.2,30351496457231.3,32104329229907
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Barbados,BRB,..,..,..,..,..,..,..,..,..,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Belarus,BLR,123378684992.537,110987276348.898,105032847177.196,109816187969.604,122320000000,124814637943.879,125999246814.497,128451169349.663,126265726364.897,126642176868.741
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Belgium,BEL,405276479416.521,416701400000,424903066222.469,430081266088.735,434943620458.885,447487284737.394,425966486024.159,450582566918.461,448753712035.567,460894067726.263
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Belize,BLZ,4250201766.74691,4538433470.09942,4648462460.40823,4844964100.2819,4709305144.3879,4850196328.72696,3866437392.11527,4656690732.07647,5082225391.69895,5576888728.74027
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Benin,BEN,6555300729818.17,6732814000000,7029141946047.56,7353450626423.84,7832607046126.4,8481201621215.56,8739713094955.42,9376360979441.03,9861630612574.21,10421860409947.2
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Bermuda,BMU,6492734750.46624,6561247515.75016,6434345087.66725,6778540738.11456,6611862724.25533,6842002053.27651,6133604523.59429,6496114796.52457,6784374845.19863,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Bhutan,BTN,141241835111.43,152089593181.293,163286295907.213,168753296888.091,174363446259.794,180377693143.898,163755872603.168,171767494370.936,176768798297.836,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Bolivia,BOL,42297131559.9367,41383273310.0921,42543154932.1745,45845321329.9306,48178183413.7813,49047321074.4428,44146897720.9436,47954249304.831,49490555187.9682,51890921205.3225
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Bosnia and Herzegovina,BIH,27561427013.7251,28928938000,30071414258.243,31122451562.7035,32413340088.7757,33286880307.7176,32218111843.8825,35509585617.067,35964227791.9676,36647489894.818
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Botswana,BWA,150240160139.136,140004580339.792,164418139800,158510473652.866,161211273995.221,165583386440.578,157311981502.572,176429759003.51,193414239012.373,194073395731.84
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Brazil,BRA,4246045555657.41,4054995118330.09,3919988342716,3989615157033.53,4061338287732.28,4097233304623.29,3964993213383.16,4192276187751.92,4290495399713.79,2976273554290.75
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Brunei Darussalam,BRN,20181117273.9862,16259272316.8445,15783759782.686,16887979030.5663,17792034023.4364,17489665925.6348,16059049479.0586,18715620028.6463,21575310840.1031,19068098109.708
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Bulgaria,BGR,85867691108.5649,89571386000,94386376111.1269,97154921923.6721,100565869677.733,106411227113.839,105227943718.451,112894355412.227,118150345818.322,120378396927.391
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Burkina Faso,BFA,6685507572070.63,6995311000000,7544734247936.39,8035280502708.34,8602796458269.33,9410862097142.58,9844733714897.58,10376355919091.5,10481546535818.4,10649882442476
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Burundi,BDI,1804188109597.54,1837904288163.23,1787890107430.09,1772755005413.77,1750249804186.79,1769469817035.29,1800565751704.13,1860975524652.82,1901670085151.88,1956302586094.42
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Cabo Verde,CPV,171385743287.741,173910814000,184151072940.161,190347646621.488,201602497903.63,217513122330.453,169634340833.316,181925006909.834,207441811066.433,209626225988.394
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Cambodia,KHM,43470420553149.9,46108751789709.7,49363853221729.9,52917199311286.3,60551579667348.8,64153956728635,65812208203446.9,72011496268397.3,91432975954774.8,119563049664905
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Cameroon,CMR,18348822352067.7,19151324667615.6,20038566000000,20789952143928.3,21745015091324.5,22448184261530,22282706382610.2,23322570594826.4,24473443268585.1,25848459791178.1
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Canada,CAN,2023536105509.67,1990442000000,2003265175782.3,2088302131703.89,2151349450723.15,2185758549827.97,2054214559825.18,2247479537609.05,2367857984059.52,2349560777011.72
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Central African Republic,CAF,515918391954.357,535754321520.002,576831047470.714,581655748109.624,740655999989.5,763576953491.569,770451542682.988,778062172285.904,781968861626.138,788773957891.959
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Chad,TCD,5742162931295.49,5002609215726.75,4385503426878.78,4425266216741.83,4616782028789.31,4751547065293.47,4062213331486.1,4524647530679.2,5254172683451.61,5071832940147.67
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Chile,CHL,169879076607264,172279533726370,176835528000788,183542355229024,189434867410000,189703001763288,183193899717107,209905104775771,209824560027639,211644251312333
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,China,CHN,..,..,..,..,..,..,..,..,..,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Colombia,COL,805084440686170,804692000000000,816563524602884,837682278332551,869454112210606,895452314411962,820634822548154,926391749638073,1.02278287322739E+15,1.00934694641987E+15
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Comoros,COM,360096546750.573,367268452575.825,382350706806.118,398935035418.06,411148244514.561,418352706866.854,408915002193.522,424275552928.721,425795397160.986,436161081212.076
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,"Congo, Dem. Rep.",COD,11694188897789.6,11968087812885.8,11501820676864.5,14010866939823.2,15276697771118.8,14776145771255,15969468399529,20076162789338,22297095105246,33477883482248.2
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,"Congo, Rep.",COG,5452004040580.6,4623136686102.61,3834836863351.67,3727899358160.37,4056826922557.35,3874603963056.56,2861001530161.55,3515252127333.21,4031347994434.18,3724965022644.47
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Costa Rica,CRI,29788193654410.2,31486781876450.9,33135825537025.9,34343647497371.9,35035638929143.5,35964924445689.8,34527104363123.5,36647950788811.2,37295972470557.5,39691299198824.7
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Cote d'Ivoire,CIV,24631376967054.8,27086367000000,29258348756548.5,30586291791944.5,31789622963566.5,33920779586204.3,35243350069013.8,37379490331793.3,38465944043873.5,42120480433977.6
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Croatia,HRV,44743237786.1598,45976724700,47974885846.6845,49669498919.1323,51321242863.253,53316686240.6411,48320878500.9829,54104708640.3988,56227761600.8498,59370074397.9961
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Cuba,CUB,51205714821.493,53746311582.7053,55721626723.6772,56785801718.3718,57225649232.1159,57230795980.3117,51773759315.7308,50143404597.2901,51004106208.684,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Curacao,CUW,..,..,..,..,..,..,..,..,..,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Cyprus,CYP,17289058546.095,18075954427.3292,19464401915.4595,20553931401.0274,21659679753.2056,22900475317.5132,21876250080.906,24256111000.8794,25474456280.1246,26472413231.7828
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Czechia,CZE,4375381677824.51,4625378000000,4782487610234.7,4987515583624.46,5148687610128.09,5326055414974.36,5094255934682.5,5271389228962.51,5225929698772.2,5331747655155.86
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Denmark,DNK,1985677610100.32,2036356221000,2100865221497.19,2160006630856.49,2192981199757.97,2224040290920.88,2210072403830.21,2370518954473.66,2456049292138.3,2395348126182.21
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Djibouti,DJI,385347758827.031,417941671869.671,447713464025.716,472150074539.258,494692487439.88,522123831949.036,528996878264.986,552919956623.157,503147014869.746,538732788103.068
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Dominica,DMA,..,..,..,..,..,..,..,..,..,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Dominican Republic,DOM,1923140566701.45,2102204598935.76,2265530723026.78,2342457017241.31,2471399990269.56,2623523939979.79,2469030830277.42,2724548359415.43,2842818663440.56,2972228855306.15
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Ecuador,ECU,102270350946.245,98746925371.2502,98855607104.5699,105936279867.426,107478962000,107690158777.636,96603934714.3489,106628483790.736,113078058850.63,115130158497.162
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,"Egypt, Arab Rep.",EGY,5608371746161.37,5831244571032,6047428134358.51,6225993015413.5,6534285542789.74,6886147050796.61,7123230838205.23,7361966366951.13,7842500000000,8137306232699.76
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,El Salvador,SLV,22593470000,23430916994.4011,24140279978.7687,24537919037.003,24948323337.181,25624801435.741,23659806422.6922,25870285973.1865,26210165024.1089,27485593616.6475
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Equatorial Guinea,GNQ,7301236464281.39,5258350786966.68,4361394938862.94,4623103086208.1,4693332153513.9,4174287178642.16,3550660609538.18,4189941176544.08,4893335776846.98,4212371790656.71
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Estonia,EST,20180495915.391,20631362000,21479094794.3155,22702951845.8836,23769867597.6074,24872728609.1497,24682479902.0114,26665987412.9519,26763818846.634,26616394509.419
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Ethiopia,ETH,1287203765226.53,1430789690323.12,1568097451000,1713919606251.16,1830809719365.33,1989973414607.9,2129202766559.03,2257056313151.27,2374549248490.09,2529327972028.43
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Fiji,FJI,..,..,..,..,..,..,..,..,..,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Finland,FIN,207993069678.132,211385000000,217120735865.882,223615768483.934,226802449120.65,229099274025.797,225043368256.358,231319804029.452,233763817634.143,229949654330.229
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,France,FRA,2154348139350.71,2198432000000,2229259103603.5,2271129043863.18,2304914921998.98,2353900917538.14,2182224701532.4,2322201128352.24,2355761681643.32,2390256907170.73
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Gabon,GAB,7409696002143.44,7243032028464.77,7246950639143.01,7633195345719.65,11168911977731.2,12881258328781.7,10998845185250.6,14801739228790.5,19204390164663.8,17140141881904.2
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,"Gambia, The",GMB,48058181349.651,51576320823.5825,52591268944.245,53413523619.2092,57204313957.506,62244253046.2966,58283520634.578,65017283758.2807,67504932004.8987,70785385205.1335
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Georgia,GEO,38178997914.0833,39901396665.3081,41314060251.7742,44526211034.942,47271019846.3736,49726000000,47082635162.9013,51464378094.764,56826824519.7294,62083919057.5904
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Germany,DEU,2950786937189.37,3026180000000,3119233070772.44,3190255809198.27,3209612802457.96,3255676080103.13,3158890893780.61,3214336719172.49,3192254125877.02,3247138128568.58
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Ghana,GHA,126503467625.382,126039417734.491,131353167558.659,139106439835.589,149120623966.769,158858135050.357,160059341225.688,172647022983.418,182817206893.321,187199155291.59
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Greece,GRC,174495162576.267,176368863000,176174443794.811,177677124822.451,179254697703.434,182194720877.43,164977028031.601,177842820934.013,187871713757.746,196178978423.253
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Greenland,GRL,14998889891.2917,15528990044.2911,16780730182.9825,16987073268.7285,17438681880.7602,17708591697.5559,17298612541.7617,17339037466.1367,..,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Grenada,GRD,..,..,..,..,..,..,..,..,..,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Guam,GUM,5440935010.48218,5537337325.99547,5558760869.56522,5582921296.2963,5506341538.46154,5678304200.73301,5077335596.22196,5154564718.73293,5421008142.95408,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Guatemala,GTM,434321220570.604,454032193988.844,467766665957.981,482217642293.47,496351178705.49,521332205125.914,518211990731.248,549932683542.375,564869764670.578,587164705609.276
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Guinea,GIN,48523293140282.5,49693701357540.5,55881769157598.2,63201414529269.4,66697237728014.2,66916418853733.2,66932117277527.5,73618718884589.8,76990896647604.3,101901464147834
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Guinea-Bissau,GNB,579111675879.519,681303000000,716883373969.951,779741495871.131,790053134828.089,815200310627.942,821424423702.358,869821310020.961,897449963793.072,927955546322.54
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Guyana,GUY,..,..,..,..,..,..,..,..,..,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Haiti,HTI,616942186801.152,637595823002.922,662956160295.871,680539864342.952,684990089133.194,677955689649.068,649291338893.627,626973112873.333,620725435992.9,603475396499.927
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Honduras,HND,164630235745.897,176024715658.438,183624370898.943,192769453964.934,194182158702.285,198715713946.5,187881291494.582,206392832263.891,214439652359.096,223105351518.888
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,"Hong Kong SAR, China",HKG,2543781851048.65,2644952397246.04,2712607063264.06,2816592009289.95,2905064881433.38,2847931810163.43,2663035655706.06,2867973000000,2747282009774.64,2820638489489.9
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Hungary,HUN,33513428588514.7,34965213000000,35946226731515.9,37336949617593.6,39009028597641.9,41005016366975.8,39882611679140.4,41521110972455,41127484926103.2,43164549975390.3
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Iceland,ISL,2142890193200.05,2310847787000,2491857924439.67,2618275802774.69,2688619700976.65,2727708155622.86,2526712633137.79,2695251449307.24,2969599137449.97,3009998838551.18
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,India,IND,103761941541775,112498778127502,122200998511036,131778445235722,138984101815212,146395241295083,139193595401382,147853070561629,156208009490480,173550520754921
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Indonesia,IDN,8.44319558494865E+15,8.87530417251777E+15,9.35660521280989E+15,9.83354245047213E+15,1.02360335455677E+16,1.06721073011454E+16,1.05072501580418E+16,1.10608205258597E+16,1.16820222194885E+16,1.20514410143093E+16
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,"Iran, Islamic Rep.",IRN,1.46443029646976E+16,1.32138853693841E+16,1.44088908141246E+16,1.47982040839604E+16,1.39232297664208E+16,1.29325990064256E+16,1.32689942440188E+16,1.43845925743201E+16,1.49107378616193E+16,1.53237986522593E+16
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Iraq,IRQ,171311057468593,123341944553579,141270186417408,154360211940736,179569803152675,182963114968016,133054580166463,190239530311153,..,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Ireland,IRL,202651573750.76,263506832000,267505299401.014,286216492075.445,307970775287.326,325731506165.65,345971355628.972,389755611951.117,428837307517.526,413227776131.112
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Israel,ISR,1124201408859.92,1179320725000,1245066303725.11,1298811426953.31,1342247507424.07,1418283420456.96,1408392219132.92,1544513860420.08,1649844829102.96,1664082004926.79
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Italy,ITA,1631869546119.2,1655355000000,1693067050003.85,1713835543471.69,1726842372289.94,1740160374045.1,1600740693948.06,1708598349208.42,1725649685418.25,1785763140249.73
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Jamaica,JAM,801559999005.709,816120106714.212,844445176767.201,852484637741.962,878467257346.31,878815353811.381,..,..,..,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Japan,JPN,522747652884916,538032300000000,547465392334581,552807171616110,551952406479267,550472989530760,532661537913296,539082969380883,533397643440941,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Jordan,JOR,..,..,..,..,..,..,..,..,..,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Kazakhstan,KAZ,15732854793600.6,14242357885700.8,14256886004696.1,15518346570783.9,16719684903935.1,17364499709835.6,16176587219212.5,17710256149110.6,20019467424557.1,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Kenya,KEN,6872312916993.83,7274460624606.93,7594064300000,7900122937228.41,8340811102375.33,8798659083341.45,8802847397579.76,9527193909535.44,9984780625618.6,10512920587194.8
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Kiribati,KIR,236000000.015726,263000000.319785,281999999.269157,292000000.409618,301999999.880941,312000000,310000000.319642,336999999.825471,349999999.753257,365000000.099642
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,"Korea, Rep.",KOR,1.55771549618904E+15,1.6580204E+15,1.73289893337742E+15,1.7891283037011E+15,1.81541068765624E+15,1.81025138751179E+15,1.81134794332421E+15,1.86541861543794E+15,1.84459829485991E+15,1.86834105872227E+15
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Kosovo,XKX,4556341645.68185,4758101434.45883,5074329683.26348,5264164574.84859,5440485913.65188,5685611658.50759,5451593727.82176,5865021114.80978,5909629059.97243,6196597515.24998
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Kuwait,KWT,41089757773.2498,29943699876.5569,28046292795.5588,30547216107.4209,34455191705.1591,34409563876.2041,..,..,..,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Kyrgyz Republic,KGZ,491650130303.773,514466692606.913,559466943052.591,589482129211.445,613364563458.743,654015200000,621190684039.779,678502301134.483,745104978864.663,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Lao PDR,LAO,95359754686709.8,98622651432886.3,111728896272165,..,..,..,..,..,..,..
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Latvia,LVA,23569234131.0308,24572126000,25622140833.7461,26560116698.1592,27940352679.1399,28274072928.3538,27663833870.4239,29240581067.1262,30055329962.0507,30643146551.4131
